# Wo,Ar,sample_sigma,prediction,abs_error,rel_error
2.574028588022045483e+00,3.634330460259310058e+00,5.121884051895444490e-01,1.191553324460983276e-01,3.930330611251969808e-01,7.294702769819270127e-01
4.537465798392215532e+00,4.400527899926910180e+00,2.078810436233293202e-01,1.358767747879028320e-01,7.200427770627405855e-02,1.708893225976928221e-01
4.870016185540567477e+00,1.034431881847114987e+01,1.967026498170366011e+00,1.947703063488006592e-01,1.772256203815253839e+00,9.008618542115904848e-01
3.086124504968052129e+00,8.529514721685734102e+00,1.592519985407572891e+00,1.657100617885589600e-01,1.426809905202109929e+00,8.953613358759163754e-01
2.013536269225420838e+00,9.433070897812189770e+00,4.089291221560126921e+00,1.644399017095565796e-01,3.924851316288261671e+00,9.598181214130562244e-01
1.887346834398979656e+00,3.698517720206639048e+00,1.615884466982728807e+00,1.162088736891746521e-01,1.499675589312150281e+00,9.279664966341900634e-01
4.929909774717620152e+00,9.294540865073095404e+00,1.738949996060725312e+00,1.821610182523727417e-01,1.556788967261124590e+00,8.951354415190966307e-01
5.062065223201688724e+00,5.577194945282103689e+00,2.424128120122140684e-01,1.544219106435775757e-01,8.799089568756882085e-02,-8.418207022977395315e-01
4.660542235804273403e+00,1.367169913094247491e+01,1.571589427652136939e+00,2.114289700984954834e-01,1.360160442143163229e+00,8.594131914582228138e-01
2.818675868935884399e+00,9.623975847929916227e+00,2.656225060680727612e+00,1.705707758665084839e-01,2.485654274569670807e+00,9.356630902003203465e-01
4.050601104229464511e+00,4.992767103827489450e+00,5.069853426769144189e-01,1.399540901184082031e-01,3.670312559345506043e-01,7.012886965348693602e-01
3.984987148683663882e+00,3.892446244395983079e+00,4.822515251356568333e-01,1.275152266025543213e-01,3.547363003724646191e-01,7.318020986397133498e-01
2.127989629982619757e+00,3.472877557399047355e+00,1.434439155676668243e+00,1.124783009290695190e-01,1.321960842314442441e+00,9.216211729439038880e-01
4.249198442751947802e+00,1.278529011435062479e+01,1.967430127282667751e+00,2.092002332210540771e-01,1.758229878395021872e+00,8.937854253610602040e-01
2.143332479753713660e+00,5.412562773274060213e+00,2.438571105909961290e+00,1.346189975738525391e-01,2.303952113155703252e+00,9.447860298500611043e-01
4.667101640223582315e+00,1.704526053318551604e+01,2.685866551989685824e+00,2.276610583066940308e-01,2.458205488560717633e+00,9.153530601348455198e-01
3.509880500307075657e+00,1.518572721473582554e+01,3.881477500743430564e+00,2.028963118791580200e-01,3.678581203186267690e+00,9.477323599870214332e-01
4.240279378771944607e+00,9.630035065214572754e+00,1.648484967004165469e+00,1.799348145723342896e-01,1.468550162792795044e+00,8.906294114985401356e-01
2.702861588101383994e+00,1.367528570076142458e+01,4.007220751687073701e+00,1.909746825695037842e-01,3.816246084856921073e+00,9.523831969356626459e-01
1.962474926951862875e+00,1.271242621662801753e+01,4.732971371020724405e+00,1.822843104600906372e-01,4.550687062423278917e+00,9.615628856584347295e-01
1.552612980617622984e+00,1.042948882715781167e+01,5.471175857811337195e+00,1.678828299045562744e-01,5.303293049420331862e+00,9.693594037500670169e-01
1.997283891584350268e+00,8.741730649689579025e+00,2.778557561020976063e+00,1.617462188005447388e-01,2.616811350276371684e+00,9.417543960919317891e-01
2.959588615215703822e+00,3.387437159889898908e+00,6.595310996371719359e-01,1.163815483450889587e-01,5.431495460068274106e-01,8.187733458044558210e-01
3.533569256066980024e+00,1.488996576475108746e+01,3.924896930036587239e+00,2.013274878263473511e-01,3.723569438208463200e+00,9.487019082740953957e-01
2.689416537177406141e+00,7.116616480475552287e+00,1.920865612729925953e+00,1.527640521526336670e-01,1.768101548027720682e+00,9.203055819208131316e-01
4.573979584691064915e+00,8.119726872073609769e+00,1.529598287020887515e+00,1.713570058345794678e-01,1.358241276646110496e+00,8.879542751361997333e-01
1.659190910408266717e+00,1.222883765022213609e+01,5.634337460100534933e+00,1.777344644069671631e-01,5.456602999279160038e+00,9.685047233177886961e-01
2.288404198752185259e+00,1.162804087565707434e+01,5.039133416742201277e+00,1.770727634429931641e-01,4.862060637909102034e+00,9.648696704253933998e-01
3.860497483536056595e+00,9.591941621496653525e+00,1.368385200055604711e+00,1.809507608413696289e-01,1.187434437048910274e+00,8.677685666317784818e-01
2.762181829240587749e+00,1.985482049041860364e+01,5.736992276994788753e+00,2.152539789676666260e-01,5.521738300172073899e+00,9.625495264340567791e-01
4.631420288121308459e+00,3.318389846790461561e+00,3.678935498759696721e-01,1.211707741022109985e-01,2.467227816643739469e-01,6.560386660878571030e-01
1.758223470831936197e+00,4.114068048264456934e+00,1.718036451070249715e+00,1.214438229799270630e-01,1.596592625366203944e+00,9.291002399329210126e-01
3.153615455741908491e+00,1.199954635672277803e+01,2.346332285999576328e+00,1.870146989822387695e-01,2.159317599846306113e+00,9.203867048444933641e-01
2.783996150624550303e+00,4.706359132400956824e+00,1.132049608277212460e+00,1.316456049680709839e-01,1.000404005940127794e+00,8.822357566284656505e-01
1.665952926192441730e+00,1.399782527227817042e+01,7.621325658437003270e+00,1.865103691816329956e-01,7.434815300338108557e+00,9.755467647627060757e-01
4.321825199423744657e+00,1.357353335394287264e+01,2.806325894476889182e+00,2.015633285045623779e-01,2.604762564019459603e+00,9.282204907661182336e-01
1.581702319457815697e+00,9.287514158897518968e+00,4.303771846776726306e+00,1.624866425991058350e-01,4.141285208647969007e+00,9.622980638562751432e-01
1.823618504913497418e+00,1.267791220224597204e+01,6.897059911092571660e+00,1.803909987211227417e-01,6.716668907249174758e+00,9.738537508936339071e-01
3.958206505050060997e+00,1.335224248255776480e+01,1.988974092916489411e+00,2.062333375215530396e-01,1.782740756259320047e+00,8.964369349163702205e-01
3.475627802397415422e+00,5.723950233577437707e+00,9.158512694869662685e-01,1.451939642429351807e-01,7.706573102731729685e-01,8.409844328281371739e-01
1.087827848966435695e+00,1.111337835015688569e+01,9.634752599667304906e+00,1.703272163867950439e-01,9.464425393990719471e+00,9.823373886288908619e-01
2.591695518627724404e+00,1.919029642931874236e+01,6.884656793968710886e+00,2.115863859653472900e-01,6.673070412383490080e+00,9.692880593100756670e-01
5.053542225869040116e+00,4.907774449815305751e+00,5.348241011428316039e-02,1.458223611116409302e-01,-9.233995779601256171e-02,1.510196853434664409e-03
1.666806191748341881e+00,8.483785112652235227e+00,5.054439455582446783e+00,1.564359217882156372e-01,4.898003546856029899e+00,9.690565955036782864e-01
1.438647335040399877e+00,1.150191053039990763e+01,7.439012920608959689e+00,1.725117415189743042e-01,7.266501177204057527e+00,9.768328402500783270e-01
1.273467452454259519e+00,4.960934242801075200e+00,2.991700732967378595e+00,1.282083690166473389e-01,2.863492353543201752e+00,9.571894719590577916e-01
4.619655867002362193e+00,1.279276699679198970e+01,2.473172002116393209e+00,2.026827633380889893e-01,2.270489244089753278e+00,9.180797410179204476e-01
4.278581825498145363e+00,1.111464876497929666e+01,1.511785959559948767e+00,1.904647350311279297e-01,1.321321226161545681e+00,8.715669881319676460e-01
2.699109753774445064e+00,1.022769539960824758e+00,1.745392660471953572e-01,7.219925522804260254e-02,1.023400122394196587e-01,5.850896450158593609e-01
4.333264178636783370e+00,1.698964166189591651e+01,2.755971292943042439e+00,2.208737581968307495e-01,2.535097536914447058e+00,9.198828104645302428e-01
4.352808159095855167e+00,1.227050692915131691e+01,1.509439920281847147e+00,1.983620822429656982e-01,1.311077834339784420e+00,8.636722478177398798e-01
4.600717708261038652e+00,1.680555544726638928e+01,3.345378208648073670e+00,2.157789766788482666e-01,3.129599240214340661e+00,9.355284704899720083e-01
1.011705118305365136e+00,4.594413748899969008e+00,4.223199667448871431e+00,1.239269971847534180e-01,4.099272666236148055e+00,9.706667541908746699e-01
1.819901578717485258e+00,1.228670359743830431e+01,6.258595090794569771e+00,1.792241781949996948e-01,6.079370917279465658e+00,9.713814242310743197e-01
4.634590315456590837e+00,1.978034607679515489e+01,4.051503047404358071e+00,2.333263456821441650e-01,3.818176704213501527e+00,9.423992383654884453e-01
