# Wo,Ar,sample_sigma,prediction,abs_error,rel_error,mse,K,G,frac,act_sigma
1.087827848966435695e+00,1.111337835015688569e+01,9.634752599667304906e+00,3.960435390472412109e+00,5.674316878389114471e+00,5.897403373879506194e-01,3.221649668394429966e+01,2.865980456004349808e+00,9.467678519847273932e+00,8.000000000000000444e-01,1.021611862641308655e+01
4.660542235804273403e+00,1.367169913094247491e+01,1.571589427652136939e+00,3.212459564208984375e+00,-1.640870205102189061e+00,1.153975117474439482e+00,2.782304134444779198e+00,9.343884029504703648e+00,8.128405319158824582e+00,8.000000000000000444e-01,2.933499674332023410e+00
3.958206505050060997e+00,1.335224248255776480e+01,1.988974092916489411e+00,7.309880733489990234e+00,-5.320906569047927803e+00,2.685597221254482747e+00,2.845694462252587797e+01,9.750877865227298713e+00,8.520768768119425518e-01,8.000000000000000444e-01,3.373306184384862849e+00
4.634590315456590837e+00,1.978034607679515489e+01,4.051503047404358071e+00,7.064786434173583984e+00,-3.013283446373871133e+00,7.430803794208484803e-01,9.172409424642712139e+00,9.909882683701944917e-01,3.277316223212838331e+00,8.000000000000000444e-01,4.267981575594009591e+00
1.273467452454259519e+00,4.960934242801075200e+00,2.991700732967378595e+00,4.698227882385253906e+00,-1.706526607015607766e+00,5.674967314649945749e-01,3.009620092017603721e+00,4.604164835520761834e+00,1.359933729918820999e+00,8.000000000000000444e-01,3.895611335209419046e+00
3.533569256066980024e+00,1.488996576475108746e+01,3.924896930036587239e+00,4.292820930480957031e+00,-3.679238186502037378e-01,9.513745897125000517e-02,1.792393137318082919e-01,1.463852635943212022e+00,8.383555539322202321e+00,8.000000000000000444e-01,4.213859892284744113e+00
4.050601104229464511e+00,4.992767103827489450e+00,5.069853426769144189e-01,3.231001615524291992e+00,-2.724016323511325499e+00,9.280781145405599730e+00,7.520862747818631178e+00,5.150509945675977086e+00,9.073006800325625676e+00,8.000000000000000444e-01,1.232599057610055837e+00
1.819901578717485258e+00,1.228670359743830431e+01,6.258595090794569771e+00,4.375529289245605469e+00,1.883065437960630861e+00,3.021035672454066567e-01,3.570593831895239934e+00,2.486732146173318725e+00,8.429554109524222127e+00,8.000000000000000444e-01,6.751301136898264055e+00
4.249198442751947802e+00,1.278529011435062479e+01,1.967430127282667751e+00,5.220726966857910156e+00,-3.253296875338028915e+00,1.654225436187954923e+00,1.077006760902236593e+01,8.130393762492824195e+00,2.906490264000000101e-01,8.000000000000000444e-01,3.008871034526307220e+00
1.426613158262356684e+00,7.505096560054055566e+00,3.874426812531051034e+00,3.253222942352294922e+00,6.212035095706551768e-01,1.602101201294957034e-01,4.004372238535392481e-01,7.386064972913624516e+00,7.967353357604671338e+00,8.000000000000000444e-01,5.260779011175960918e+00
1.997283891584350268e+00,8.741730649689579025e+00,2.778557561020976063e+00,1.804993391036987305e+00,9.735641848851498414e-01,3.548657034871324223e-01,9.578426030384091794e-01,8.852360385953419453e+00,5.526514497018216510e+00,8.000000000000000444e-01,4.376809269089522836e+00
