# Wo,Ar,sample_sigma,prediction,abs_error,rel_error,mse,K,G,frac,act_sigma
1.819901578717485258e+00,1.228670359743830431e+01,6.258595090794569771e+00,6.143122673034667969e+00,1.154721256971420057e-01,4.351199146477337937e-02,1.359614080271126235e-01,2.486732146173318725e+00,8.429554109524222127e+00,8.000000000000000444e-01,6.751301136898264055e+00
2.288404198752185259e+00,1.162804087565707434e+01,5.039133416742201277e+00,5.133431434631347656e+00,-9.429836359608605167e-02,4.963673896840054001e-02,1.061273313830816412e-01,1.453382770785024147e-01,7.690151786352725338e+00,8.000000000000000444e-01,5.081288035565387773e+00
4.321825199423744657e+00,1.357353335394287264e+01,2.806325894476889182e+00,6.341120243072509766e+00,-3.534794193623544523e+00,1.262373149642046499e+00,1.257054433134553229e+01,1.779127253197713143e+00,2.859961802346285609e+00,8.000000000000000444e-01,3.140694666631291820e+00
2.739207974219834529e+00,1.802193990205879714e+01,6.364219150444360373e+00,5.685351371765136719e+00,6.788675760234309520e-01,1.077948670701850409e-01,6.612833796857444657e-01,1.080987531849964212e+00,5.372391604503450324e-01,8.000000000000000444e-01,6.579252131153606520e+00
4.352808159095855167e+00,1.227050692915131691e+01,1.509439920281847147e+00,4.109475135803222656e+00,-2.600035111213247152e+00,1.912348213140106168e+00,7.266218424640233486e+00,8.738270390010830724e+00,9.341665924220341921e+00,8.000000000000000444e-01,2.818986383195000833e+00
4.573979584691064915e+00,8.119726872073609769e+00,1.529598287020887515e+00,4.905986785888671875e+00,-3.376388585294519462e+00,2.212142606792669941e+00,1.154131006367209089e+01,1.398035599725752753e+00,4.406903107166705524e+00,8.000000000000000444e-01,1.775199631246721532e+00
2.262298233424998806e+00,5.942473688136361787e+00,2.419671925093731524e+00,3.020568132400512695e+00,-6.008962490300326920e-01,2.536965844370859258e-01,4.195145028247894703e-01,9.594694985717532321e-01,4.351033637149472000e+00,8.000000000000000444e-01,2.626741956625132435e+00
2.013536269225420838e+00,9.433070897812189770e+00,4.089291221560126921e+00,4.838398933410644531e+00,-7.491072916377718993e-01,1.863388874625580005e-01,6.572865587297526124e-01,3.071825572017610195e+00,4.073729852763478654e+00,8.000000000000000444e-01,4.684827903021066220e+00
4.249198442751947802e+00,1.278529011435062479e+01,1.967430127282667751e+00,6.035775184631347656e+00,-4.068344801048707104e+00,2.072296681683231778e+00,1.682917112092729184e+01,8.130393762492824195e+00,2.906490264000000101e-01,8.000000000000000444e-01,3.008871034526307220e+00
3.086124504968052129e+00,8.529514721685734102e+00,1.592519985407572891e+00,4.713965415954589844e+00,-3.121445275574940670e+00,2.024206065138110411e+00,9.925240206446652280e+00,7.080267003616609323e+00,5.629734442149445961e+00,8.000000000000000444e-01,2.763827158611034562e+00
1.997283891584350268e+00,8.741730649689579025e+00,2.778557561020976063e+00,5.190946102142333984e+00,-2.412388749737614635e+00,8.777233593636785125e-01,5.965124073803761640e+00,8.852360385953419453e+00,5.526514497018216510e+00,8.000000000000000444e-01,4.376809269089522836e+00
4.240279378771944607e+00,9.630035065214572754e+00,1.648484967004165469e+00,4.961672782897949219e+00,-3.313187893379821336e+00,2.039399795081752842e+00,1.117990749863257527e+01,3.925259996062506307e+00,7.777990958280301292e+00,8.000000000000000444e-01,2.271085040628523899e+00
3.297359823792298972e+00,1.731284009392498646e+01,3.714521831751322445e+00,4.982943534851074219e+00,-1.268421786546254371e+00,3.506877841794850958e-01,1.782086933724798428e+00,9.119563828638160174e+00,7.026374295535049441e+00,8.000000000000000444e-01,5.250515873033675618e+00
3.860497483536056595e+00,9.591941621496653525e+00,1.368385200055604711e+00,5.279394626617431641e+00,-3.911009283510679779e+00,2.898874279324226588e+00,1.547894764276691149e+01,7.547056903494429037e+00,1.187630886931789309e+00,8.000000000000000444e-01,2.484638744722307280e+00
