# Wo,Ar,sample_sigma,prediction,abs_error,rel_error,mse,K,G,frac,act_sigma
4.619655867002362193e+00,1.279276699679198970e+01,2.473172002116393209e+00,3.996296405792236328e+00,-1.523124159296799451e+00,6.105080528297019971e-01,2.429775549030050552e+00,1.628261074244796713e+00,3.875317524000272407e+00,8.000000000000000444e-01,2.769203456943440944e+00
2.868427309419824489e+00,7.043989796855000485e+00,2.175191108102684900e+00,1.379068017005920410e+00,7.961230821560678628e-01,3.753996256421843758e-01,6.829108867745159461e-01,1.424728755025647553e+00,6.747482605832503921e+00,8.000000000000000444e-01,2.455697508430058740e+00
2.783996150624550303e+00,4.706359132400956824e+00,1.132049608277212460e+00,2.688426256179809570e+00,-1.556376740289796334e+00,1.395286384446195127e+00,2.474427427361467924e+00,3.335712518664759596e+00,8.815344817754075635e+00,8.000000000000000444e-01,1.690504899349502210e+00
5.062065223201688724e+00,5.577194945282103689e+00,2.424128120122140684e-01,2.851753950119018555e+00,-2.609341325861435301e+00,-9.325756426959546985e+00,7.012379534295433814e+00,7.178945631632147162e+00,8.576204690862249791e+00,8.000000000000000444e-01,1.101762758749007753e+00
2.127989629982619757e+00,3.472877557399047355e+00,1.434439155676668243e+00,2.893639564514160156e+00,-1.459200325390989317e+00,1.013329900061381128e+00,2.302753301172278722e+00,1.014288153320095587e+00,1.774209063364154404e-01,8.000000000000000444e-01,1.631999286306396124e+00
4.249198442751947802e+00,1.278529011435062479e+01,1.967430127282667751e+00,2.455735683441162109e+00,-4.883055710596554411e-01,2.482280142700183934e-01,3.443996966179170838e-01,8.130393762492824195e+00,2.906490264000000101e-01,8.000000000000000444e-01,3.008871034526307220e+00
2.739207974219834529e+00,1.802193990205879714e+01,6.364219150444360373e+00,5.406964302062988281e+00,9.572549079860163124e-01,1.531683855169125308e-01,1.069579201293116677e+00,1.080987531849964212e+00,5.372391604503450324e-01,8.000000000000000444e-01,6.579252131153606520e+00
1.987681317345132648e+00,6.127789610383616470e+00,2.136480795176696645e+00,2.578626632690429688e+00,-4.421458762567525014e-01,2.101932112207356984e-01,2.068943386873852153e-01,5.293909719423477434e+00,9.729245662077220302e+00,8.000000000000000444e-01,3.082883335930461932e+00
4.600717708261038652e+00,1.680555544726638928e+01,3.345378208648073670e+00,4.519402503967285156e+00,-1.174024480093610379e+00,3.484876342717991848e-01,1.537350221007109052e+00,1.429949583114211054e+00,6.986210422043013235e-01,8.000000000000000444e-01,3.652811694377677387e+00
1.581702319457815697e+00,9.287514158897518968e+00,4.303771846776726306e+00,3.997066497802734375e+00,3.067051552588963559e-01,7.441537097027525749e-02,1.158732915751758130e-01,8.283632115527028716e+00,4.005893373907031929e+00,8.000000000000000444e-01,5.871847088193651309e+00
4.660542235804273403e+00,1.367169913094247491e+01,1.571589427652136939e+00,3.659419298171997070e+00,-2.087829870519860354e+00,1.473093999074055471e+00,4.565122817254188448e+00,9.343884029504703648e+00,8.128405319158824582e+00,8.000000000000000444e-01,2.933499674332023410e+00
