# Wo,Ar,sample_sigma,prediction,abs_error,rel_error,mse,K,G,frac
2.086478952575572254e+00,8.082369949811109677e+00,2.964139781721724543e+00,4.240229129791259766e+00,-1.276089368931160761e+00,4.217968486660484961e-01,2.011885193509088232e+00,8.180918777015905974e+00,1.000000000000000000e+01,9.000000000000000222e-01
3.887099853365762137e+00,1.406497763932359391e+01,1.756930818786002435e+00,1.963577508926391602e+00,-2.066466364962088187e-01,1.139914616404292813e-01,1.780310629385097043e-01,1.663773569902681260e+01,1.000000000000000000e+00,9.000000000000000222e-01
4.740517915267394855e+00,1.255702924769300921e+01,-1.126265593819338190e-01,1.084705114364624023e+00,-1.197331652884932041e+00,3.253684755529941519e+00,2.119781485293823486e+00,2.647011443049319013e+01,1.000000000000000000e+02,9.000000000000000222e-01
3.925734865499063808e+00,1.625506047689042077e+01,2.658454099139203386e+00,2.640132427215576172e+00,1.832161529921466636e-02,2.685717103032841946e-02,9.930907681390687899e-03,1.450112917422757164e+01,1.000000000000000000e+03,9.000000000000000222e-01
2.251275896366358165e+00,1.667685387523531659e+01,2.496652454256749643e+00,2.858701229095458984e+00,-3.620488225224255396e-01,5.161206541920078106e-01,2.435270485087129178e+00,1.968639561639031044e+01,1.000000000000000000e+03,8.000000000000000444e-01
3.446128152490051999e+00,8.739075957539316875e+00,1.620275614785025464e+00,1.784994125366210938e+00,-1.647185463439722886e-01,1.468792081957225049e-01,1.487334823875864631e-01,3.368706513001517688e+00,1.000000000000000000e+00,8.000000000000000444e-01
3.243367366708138633e+00,1.689481204164144046e+01,4.631559105700539192e+00,2.709988117218017578e+00,1.921571259683655386e+00,4.151252642549621008e-01,3.933387128989623616e+00,2.060228611090869855e+00,1.000000000000000000e+03,8.000000000000000444e-01
3.595325761714927015e+00,1.301225286536098658e+01,2.421152648516433192e+00,3.081309080123901367e+00,-6.601566134016347842e-01,2.773733566089361946e-01,4.460497124012444692e-01,1.170162230207463594e+01,1.000000000000000000e+03,9.000000000000000222e-01
1.614208667126463048e+00,1.568760005141895419e+01,7.616764476518889992e+00,3.507773637771606445e+00,4.108990710597296925e+00,5.403888249019888068e-01,1.730330206166465956e+01,7.547196446809251391e+00,1.000000000000000000e+00,8.000000000000000444e-01
3.968319269311670006e+00,1.753668094658557663e+01,2.268578758439896426e+00,1.461493849754333496e+00,8.070848557864410688e-01,3.717509640169002205e-01,7.264442168898088692e-01,1.916516778391612164e+01,1.000000000000000000e+00,9.000000000000000222e-01
4.081019181791802453e+00,1.686749279903417431e+01,2.014287534198197172e+00,2.582533597946166992e+00,-5.682463468700328368e-01,4.274965720521212154e-01,4.593444826908282264e-01,2.070100961130577133e+01,1.000000000000000000e+03,9.000000000000000222e-01
4.565212363840052134e+00,1.654822256014350756e+01,3.397226296766515941e-02,1.718623399734497070e+00,-1.684651026498239279e+00,-4.668338979377866238e+00,3.449102283521584322e+00,3.364920735588064105e+01,1.000000000000000000e+01,9.000000000000000222e-01
1.267638009921412401e+00,7.433322317238637567e+00,3.588645092609111575e+00,2.167648792266845703e+00,1.420996431472484556e+00,3.885527042126923902e-01,2.354142309657849985e+00,2.115886030248597649e+01,1.000000000000000000e+02,9.000000000000000222e-01
3.036941874377465655e+00,1.493428798990281692e+01,1.330538074309014274e+00,2.821793079376220703e+00,-1.491255016988135340e+00,4.755445821929541239e+00,2.618275962658899836e+00,3.405488529276339449e+01,1.000000000000000000e+02,9.000000000000000222e-01
1.780872653214910173e+00,1.212735509014656188e+01,8.733369303326069533e-01,3.559970855712890625e+00,-2.686633779348903683e+00,5.251081054336984799e+00,9.661153452049004997e+00,2.349682889066421865e+01,1.000000000000000000e+03,8.000000000000000444e-01
1.615607977690750818e+00,1.788538398589330924e+01,1.158221085803555095e+00,1.166319608688354492e+00,-8.098631663275976042e-03,8.982616729768879704e-01,8.414412012132631291e-02,3.625330082017180189e+01,1.000000000000000000e+00,8.000000000000000444e-01
1.402476241766584586e+00,9.959421458762616197e+00,4.495984368366562123e+00,3.476353883743286133e+00,1.019630344552361345e+00,2.650620655548237004e-01,1.494140735044167778e+00,2.236513504821852294e+01,1.000000000000000000e+00,9.000000000000000222e-01
2.375423987960748384e+00,8.154229036980552792e+00,2.478934855983377705e+00,2.819203853607177734e+00,-3.402691406749474567e-01,1.616827649397950262e-01,3.944029792497854570e-01,3.439099922194540859e+00,1.000000000000000000e+00,8.000000000000000444e-01
2.798430765064541248e+00,8.637848421240423846e+00,1.211905865334445886e+00,1.918999433517456055e+00,-7.070934966574365932e-01,8.720877255055153876e-01,6.548266306142751514e-01,7.540168392382520679e+00,1.000000000000000000e+02,8.000000000000000444e-01
4.568502776794687747e+00,1.723022470505518200e+01,2.192237912766368702e+00,1.729008913040161133e+00,4.632291129750326641e-01,1.990753980694646708e-01,2.680884960634042358e-01,1.538745035039521980e+01,1.000000000000000000e+02,9.000000000000000222e-01
2.179368376622565773e+00,7.631786511279049279e+00,2.129757365782487533e+00,2.208854198455810547e+00,-7.909676412798168077e-02,6.455271089398162410e-02,6.125850793102551733e-02,1.247507172918568408e+01,1.000000000000000000e+01,9.000000000000000222e-01
1.502051120470698109e+00,1.758912592293042110e+01,3.106664433485011756e+00,2.878360033035278320e+00,2.283044540939140055e-01,8.383477485714815880e-02,1.803797390885122365e-01,3.204470852170017281e+01,1.000000000000000000e+01,8.000000000000000444e-01
2.319452944150561358e+00,8.339941120966521737e+00,3.075828367453629308e+00,3.402455091476440430e+00,-3.266266226949146589e-01,1.303881314351645337e-01,4.079812711406501369e-01,4.624600710873630227e+00,1.000000000000000000e+01,9.000000000000000222e-01
1.666273398409716222e+00,1.464283434649901849e+01,5.513509662890432317e+00,4.683786869049072266e+00,8.297228772878625369e-01,1.770882975927895731e-01,1.005395300803413106e+00,2.892969569257656204e+01,1.000000000000000000e+01,9.000000000000000222e-01
1.697455555291284668e+00,1.318548083499842427e+01,2.755785817291124040e+00,3.267597675323486328e+00,-5.118117477637694757e-01,4.445493986148921772e-01,2.079540442736897976e+00,4.754400672583685150e+01,1.000000000000000000e+03,9.000000000000000222e-01
3.645515604103623630e+00,1.512626960251980002e+01,3.799779308482519102e+00,2.551754474639892578e+00,1.248024844273439626e+00,3.311829742493507256e-01,1.792061166220044965e+00,1.137942825746240505e+00,1.000000000000000000e+03,8.000000000000000444e-01
1.190004908142326734e+00,6.910698543630695134e+00,9.173418238824870841e-01,3.146729230880737305e+00,-2.229387541108700965e+00,4.876869298771479677e+00,6.388034393079978557e+00,4.575002549414735142e+01,1.000000000000000000e+03,9.000000000000000222e-01
1.341093161730076311e+00,1.319842640257605204e+01,1.247864754120992625e+00,3.945001125335693359e+00,-2.697136651356530912e+00,3.186868331906171470e+00,1.319480440337729910e+01,3.375223965257708869e+01,1.000000000000000000e+03,8.000000000000000444e-01
3.369207720881272294e+00,1.191574889793091074e+01,2.487292189537364528e+00,2.248891830444335938e+00,2.384003173697771261e-01,1.272841972256650578e-01,1.231842397921380644e-01,9.718307802853908939e+00,1.000000000000000000e+01,9.000000000000000222e-01
1.611139493952476798e+00,1.652096637088319397e+01,9.541616208371555885e+00,2.660572528839111328e+00,6.881043858346378883e+00,7.215458877680756000e-01,4.762473148614318319e+01,2.537638611850413728e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.170278068271554783e+00,1.116025230087514863e+01,3.934547332488091520e+00,3.576619386672973633e+00,3.579279249534916829e-01,1.051730892667079448e-01,2.718616728888455736e+00,2.184587943117575648e+01,1.000000000000000000e+02,8.000000000000000444e-01
3.654369890187126213e+00,1.078766340877221808e+01,9.518067088453626701e-01,3.491429090499877930e+00,-2.539622259464993537e+00,-5.298757387461913382e+00,6.483122729161027387e+00,8.120379245845063210e+00,1.000000000000000000e+02,8.000000000000000444e-01
1.273110836644359090e+00,1.205362187629780202e+01,1.091738307054274326e+00,2.953998088836669922e+00,-1.862259990398652310e+00,-3.435839085159996387e+01,3.600394769756334767e+00,3.127504199640063476e+01,1.000000000000000000e+01,8.000000000000000444e-01
3.759104998444495749e+00,8.158613261981173537e+00,3.283819427488845477e-01,2.155537843704223633e+00,-1.827155975461145276e+00,6.058725929134054056e+00,3.472295419340332590e+00,1.779339034161818134e+01,1.000000000000000000e+02,9.000000000000000222e-01
2.420812300166870212e+00,1.417457230441435101e+01,5.456642547316266523e+00,4.673806667327880859e+00,7.828358352849018598e-01,1.771179470517113275e-01,1.202567283381368313e+00,1.292383987996998496e+00,1.000000000000000000e+01,8.000000000000000444e-01
1.490629109777946937e+00,1.122453377812072617e+01,4.542193806243633780e+00,3.211759567260742188e+00,1.330434227061962904e+00,3.186181994805716844e-01,2.165350191057803464e+00,2.566569890541968846e+01,1.000000000000000000e+00,9.000000000000000222e-01
1.763197367058619847e+00,1.203509112666011127e+01,5.337073831657298761e+00,4.993159294128417969e+00,3.439144660033068845e-01,1.101066540560649287e-01,6.137635444817883812e-01,1.318605083384680654e+01,1.000000000000000000e+01,9.000000000000000222e-01
1.043468592594211763e+00,1.037573664578810551e+01,8.006135626689998119e+00,5.265855789184570312e+00,2.740280177251901872e+00,3.484665765347498834e-01,8.066691429199934760e+00,1.685013449754315218e+01,1.000000000000000000e+01,9.000000000000000222e-01
1.624903569844888374e+00,6.762281575928480670e+00,3.224298354868830874e+00,3.072805881500244141e+00,1.514925895976440562e-01,7.245418512264349686e-02,2.337914722119137367e-01,3.380915201855331897e+00,1.000000000000000000e+01,8.000000000000000444e-01
3.656448409149615220e+00,1.404756332768282512e+01,2.007604005307123796e+00,3.129969358444213867e+00,-1.122365376978948337e+00,6.520973272031458379e-01,1.296406517626045751e+00,1.790065218201687003e+01,1.000000000000000000e+03,9.000000000000000222e-01
4.658208230097606872e+00,8.552390429922407833e+00,1.267385120044328684e+00,9.202636480331420898e-01,3.471214075636643304e-01,3.173875242996045953e-01,1.681799834834943053e-01,5.154981344974634005e+00,1.000000000000000000e+00,9.000000000000000222e-01
4.749787418936080030e+00,1.512161828713207612e+01,2.754568710726322145e+00,2.397653102874755859e+00,3.569155974207531834e-01,1.625561771832877422e-01,2.437232638968064857e-01,4.148342682038791196e+00,1.000000000000000000e+03,9.000000000000000222e-01
3.716446186864505563e+00,1.366897172629084700e+01,3.499597637483957246e+00,3.262160539627075195e+00,2.374370769952563742e-01,1.299796437782047565e-01,4.300451641702146555e-01,1.465590094135016397e+00,1.000000000000000000e+01,9.000000000000000222e-01
3.748174678610015409e+00,1.546997438620832455e+01,1.259681174761637212e+00,1.402439117431640625e+00,-1.427579702371516990e-01,3.339857666002442604e-01,1.310876012411640035e-01,2.579654780959067040e+01,1.000000000000000000e+00,9.000000000000000222e-01
3.233146142359429209e+00,1.481141602829388937e+01,3.948487256474459084e+00,2.246778488159179688e+00,1.701708804078067017e+00,4.344800516505416543e-01,3.021423432944378984e+00,5.725004847976731703e+00,1.000000000000000000e+01,9.000000000000000222e-01
3.783020936486007901e+00,1.421989567554600242e+01,3.057494402938559563e+00,3.399838209152221680e+00,-3.423443247740719508e-01,1.174254709090151866e-01,3.710426865832258114e-01,6.485913223504248037e+00,1.000000000000000000e+01,9.000000000000000222e-01
2.537189681804220776e+00,7.662392900293136577e+00,2.349388190152924327e+00,2.154744148254394531e+00,1.946441417363097004e-01,9.704378458124866824e-02,9.767215338516969936e-02,6.329120152266262345e+00,1.000000000000000000e+02,9.000000000000000222e-01
1.430202332421560474e+00,1.554640835159761814e+01,4.860138903863854054e+00,4.126797199249267578e+00,7.333418446855021200e-01,9.850814125169582436e-02,3.188379149532894807e+00,2.351677736531651419e+01,1.000000000000000000e+02,8.000000000000000444e-01
3.096580085312764297e+00,1.639192817843501615e+01,3.010450902329332656e+00,3.042102098464965820e+00,-3.165117527400714004e-02,3.841559359849665289e-02,3.153751642261543725e-02,8.801892053179432907e+00,1.000000000000000000e+01,8.000000000000000444e-01
2.610517118110369683e+00,1.467711496754088074e+01,2.541650505315977693e+00,2.747983455657958984e+00,-2.063330904128962417e-01,1.681272815802875298e-01,2.602130627367661986e-01,2.921910233619787078e+01,1.000000000000000000e+02,9.000000000000000222e-01
3.593422345056409561e+00,1.478128440025210644e+01,3.188597689731820228e+00,2.405099391937255859e+00,7.834985108811693966e-01,2.753857432915862158e-01,8.361657978824045268e-01,3.345136854729240827e+00,1.000000000000000000e+00,8.000000000000000444e-01
3.304205288264994600e+00,1.033921052487849224e+01,2.592717342828082305e+00,2.704813003540039062e+00,-1.120955623642929250e-01,8.567089402772010143e-02,1.914473620291354261e-01,4.918623025111077851e+00,1.000000000000000000e+01,9.000000000000000222e-01
4.136240342712607543e+00,1.460304847354744417e+01,-1.984107375984989485e-01,1.960050582885742188e+00,-2.158461222136577540e+00,8.413650151853610737e+01,5.918722377877978502e+00,3.588023869279275146e+01,1.000000000000000000e+03,9.000000000000000222e-01
1.594829360824467468e+00,5.714942808569580812e+00,1.681912614179123411e+00,2.224058389663696289e+00,-5.421457054491153338e-01,3.819979222654189543e-01,3.740587513702678946e-01,7.208361462626913685e+00,1.000000000000000000e+01,8.000000000000000444e-01
2.913645665151116226e+00,7.731429354621583983e+00,2.112788981763431995e+00,2.853412628173828125e+00,-7.406236821731828623e-01,3.414709532269445402e-01,7.444807587101783808e-01,4.951612957580511676e+00,1.000000000000000000e+01,9.000000000000000222e-01
2.724898453776157137e+00,1.310783029054011628e+01,2.234616989323292113e+00,3.044277906417846680e+00,-8.096610363038440061e-01,5.082659168621228574e-01,1.007641469457357442e+00,1.039218346999249043e+01,1.000000000000000000e+03,8.000000000000000444e-01
3.734271150921490978e+00,1.612180917841397587e+01,2.249807260269966136e+00,3.315283298492431641e+00,-1.065475737219009345e+00,4.886180159682139701e-01,1.162278319796074877e+00,8.088088926692439173e+00,1.000000000000000000e+01,8.000000000000000444e-01
