# Wo,Ar,sample_sigma,prediction,abs_error,rel_error
4.896820690267490450e-01,3.415181428420930754e+00,6.974283202177809393e+00,7.454912185668945312e+00,-4.806289672851562500e-01,6.891445815563201904e-02
2.009108526448449616e+00,1.780530780839989546e+01,8.862292690517207916e+00,9.435068130493164062e+00,-5.727758407592773438e-01,6.463066488504409790e-02
4.825447651212303235e+00,5.554301542314311391e+00,1.151043787806691476e+00,8.596356511116027832e-01,2.914081215858459473e-01,2.531685829162597656e-01
8.739187283946077134e-01,8.788841103118517850e+00,1.005681743342845635e+01,1.033119583129882812e+01,-2.743787765502929688e-01,2.728286385536193848e-02
9.820776759608452755e-01,2.760487025839338138e+00,2.810864245680498641e+00,3.078121423721313477e+00,-2.672572135925292969e-01,9.508008509874343872e-02
1.865853352361769968e+00,1.901394248866391123e+01,1.019048065304614603e+01,1.062982273101806641e+01,-4.393424987792968750e-01,4.311303049325942993e-02
4.387512506528483680e-01,9.086927252707315716e+00,2.071088626912457897e+01,2.867294883728027344e+01,-7.962062835693359375e+00,3.844385445117950439e-01
1.707342562765252758e+00,1.609258704266205431e+00,9.425517405597924059e-01,1.197940230369567871e+00,-2.553884983062744141e-01,2.709543704986572266e-01
4.785017633536531534e+00,6.393109511325859806e+00,1.336068119481685468e+00,1.066292643547058105e+00,2.697755098342895508e-01,2.019174695014953613e-01
3.538164854414408644e+00,5.760710878319140527e+00,1.628163501520219825e+00,1.586273193359375000e+00,4.189026355743408203e-02,2.572853676974773407e-02
3.834928781670801534e+00,4.256133705953496715e+00,1.109833832194188741e+00,9.881601929664611816e-01,1.216736435890197754e-01,1.096323058009147644e-01
7.310672407741450884e-01,3.310531119236975517e+00,4.528353801944910551e+00,4.413131713867187500e+00,1.152219772338867188e-01,2.544456161558628082e-02
3.563244592866528837e+00,1.360305145593651233e+01,3.817602497221006086e+00,3.836401224136352539e+00,-1.879882812500000000e-02,4.924249835312366486e-03
1.976480775810812718e-01,4.852707825787001994e+00,2.455226423235142974e+01,2.166177940368652344e+01,2.890485763549804688e+00,1.177278682589530945e-01
4.027405099798265553e+00,1.687874730604546869e+01,4.190973316017037931e+00,4.035335063934326172e+00,1.556382179260253906e-01,3.713653236627578735e-02
3.421421332781652058e+00,1.228968933317689327e+01,3.591983605008168379e+00,3.629224061965942383e+00,-3.724050521850585938e-02,1.036767102777957916e-02
8.807637177095378744e-01,8.397532424165865095e+00,9.534375968624129172e+00,9.655103683471679688e+00,-1.207275390625000000e-01,1.266234274953603745e-02
3.235857279944134857e-01,8.083254321667883602e+00,2.498025599512051542e+01,2.995495796203613281e+01,-4.974702835083007812e+00,1.991453915834426880e-01
2.603192089603039605e+00,3.432273594683278972e+00,1.318486487567141374e+00,1.514421701431274414e+00,-1.959352493286132812e-01,1.486061960458755493e-01
6.118907273050403717e+00,1.975606846933951832e+00,3.228692246465553195e-01,3.451192378997802734e-01,-2.225002646446228027e-02,6.891343742609024048e-02
9.930086081691276156e-01,4.582256069992260095e+00,4.614517973253880356e+00,4.451810359954833984e+00,1.627078056335449219e-01,3.525997698307037354e-02
9.692569889469612177e-01,1.044329346053225116e+01,1.077453511258995711e+01,1.141054725646972656e+01,-6.360120773315429688e-01,5.902918800711631775e-02
4.042582737784347735e+00,5.498573881130119467e+00,1.360163597825030601e+00,1.195807337760925293e+00,1.643562316894531250e-01,1.208356395363807678e-01
5.465027054759501457e-01,2.870426908744712513e+00,5.252356264631577787e+00,5.274250030517578125e+00,-2.189397811889648438e-02,4.168410785496234894e-03
4.114988118064392353e+00,1.520852473143389005e+01,3.695885454606774090e+00,3.574953794479370117e+00,1.209316253662109375e-01,3.272061049938201904e-02
1.635547808030101358e+00,1.348715292690688727e+01,8.246260280921527297e+00,8.616456985473632812e+00,-3.701963424682617188e-01,4.489263147115707397e-02
3.067310780840075690e+00,3.165024197908594239e+00,1.031856379757435827e+00,1.115829586982727051e+00,-8.397316932678222656e-02,8.138067275285720825e-02
3.855447547323020974e+00,1.494550866426962443e+01,3.876465308066981308e+00,3.817908287048339844e+00,5.855703353881835938e-02,1.510578021407127380e-02
3.944090528133616935e-01,7.847870850310415314e+00,1.989779594137284491e+01,2.600151062011718750e+01,-6.103713989257812500e+00,3.067532479763031006e-01
4.278581825498145363e+00,1.111464876497929666e+01,2.597741312025800386e+00,2.452103137969970703e+00,1.456382274627685547e-01,5.606340616941452026e-02
1.393510589826743473e+00,1.616055270678912592e+01,1.159700746070281951e+01,1.201985168457031250e+01,-4.228439331054687500e-01,3.646146878600120544e-02
