# Wo,Ar,sample_sigma,prediction,abs_error,rel_error,mse,K,G,frac,act_sigma
2.527721868957376827e+00,1.601608879089375037e+01,3.516263444522068404e+00,2.713649272918701172e+00,8.026142848521919948e-01,2.151485772484371672e-01,9.267074482730505158e-01,2.717508051285111037e+01,1.000000000000000000e+03,9.000000000000000222e-01,6.336175268167454355e+00
2.439874773137495456e+00,1.427120382361160011e+01,5.672440385492050652e+00,5.860581874847412109e+00,-1.881416502879019181e-01,3.341455132001722172e-02,1.106216037622611836e-01,1.340003919075452909e+00,1.000000000000000000e+02,9.000000000000000222e-01,5.849154219197858495e+00
2.165176137072040152e+00,1.560912845099759849e+01,3.302075094076811101e+00,2.806075334548950195e+00,4.959998995987754955e-01,1.414732538413430718e-01,1.199580297207665014e+00,3.739700974401720401e+01,1.000000000000000000e+03,9.000000000000000222e-01,7.209172585887523965e+00
1.769706782608354345e+00,1.481071537690796980e+01,4.659015012516946719e+00,4.019019126892089844e+00,6.399961508655263032e-01,1.169230646511226074e-01,1.037716382710532237e+00,3.467530153002395821e+01,1.000000000000000000e+02,9.000000000000000222e-01,8.369022214560647654e+00
1.500607160455349476e+00,1.115406619154452272e+01,3.532379553761002988e+00,3.833398342132568359e+00,-3.010184218029998138e-01,8.598386243198345713e-02,9.704235762978555280e-02,3.455185559780799309e+01,1.000000000000000000e+01,9.000000000000000222e-01,7.433035430911774988e+00
2.651974542340441499e+00,1.289100623961921599e+01,1.968103581111723344e+00,1.984174370765686035e+00,-1.607088204116207536e-02,1.089609885765461528e-01,1.671950545376431896e-01,1.158085555004113587e+01,1.000000000000000000e+02,8.000000000000000444e-01,4.860908743204806370e+00
3.698889444311177499e+00,1.165760587320268371e+01,1.745143625967020551e+00,1.220126390457153320e+00,5.250173472685762954e-01,3.324238625762850341e-01,3.458082317277529349e-01,5.533335437769909326e+00,1.000000000000000000e+01,8.000000000000000444e-01,3.151650258466594856e+00
2.083764304568104908e+00,9.386784778090053294e+00,2.199345662927784772e+00,2.137462854385375977e+00,6.188288900867936621e-02,8.593521480682853042e-02,1.684841109903610357e-01,9.206457390369852334e+00,1.000000000000000000e+03,8.000000000000000444e-01,4.504724818210966042e+00
2.551512063836113953e+00,1.304379511079140741e+01,2.633205005486523032e+00,9.759635925292968750e-01,1.657241479919319360e+00,6.420907785490438391e-01,2.966016061310618568e+00,2.157721489703769535e+01,1.000000000000000000e+00,9.000000000000000222e-01,5.112182417503641219e+00
4.232592773720194934e+00,7.877872320716064358e+00,2.609066511173935288e-01,8.742483258247375488e-01,-6.133417121348699874e-01,9.480354158321867564e-01,4.288040211418408520e-01,1.564422233083961977e+01,1.000000000000000000e+03,9.000000000000000222e-01,1.861240318140005456e+00
2.708763756636644260e+00,1.428690538186056003e+01,4.066928543074412872e+00,2.557415008544921875e+00,1.509513379557414270e+00,3.802527329993476979e-01,2.495878603701386922e+00,4.683396679368744486e+00,1.000000000000000000e+02,8.000000000000000444e-01,5.274326838897162695e+00
3.562295622719656940e+00,7.673042070642717150e+00,1.508821153481681554e+00,8.742483258247375488e-01,6.345727902294179268e-01,4.806929621291834431e-01,6.612401814814379275e-01,2.361328404496900735e+00,1.000000000000000000e+00,8.000000000000000444e-01,2.153959941366315967e+00
1.941467092603477607e+00,1.082425627503266163e+01,2.244211640230679983e+00,1.048463821411132812e+00,1.195747814349198634e+00,5.628524157995070665e-01,1.642629144317189871e+00,2.889855098096166941e+01,1.000000000000000000e+00,9.000000000000000222e-01,5.575297318337494090e+00
1.328049628906078361e+00,1.169247114136511456e+01,9.918068401107852372e-01,8.742483258247375488e-01,1.175584768585216794e-01,3.096464133652278017e-01,3.485314657007035244e+00,3.031038810338252176e+01,1.000000000000000000e+02,8.000000000000000444e-01,8.804242617797550352e+00
2.458385974656800865e+00,8.521640962513306050e+00,7.266571604222542557e-01,8.742483258247375488e-01,-1.475912028300091772e-01,1.974488216613554115e-01,4.641676954290713947e-02,2.505644111453122491e+01,1.000000000000000000e+01,9.000000000000000222e-01,3.466355995503495269e+00
2.722894947255870779e+00,1.493660714374556342e+01,2.435330952776119384e-01,8.742483258247375488e-01,-6.307152679746514945e-01,2.337037832603393039e-01,5.517321751458759138e-01,1.963432966426995918e+01,1.000000000000000000e+00,8.000000000000000444e-01,5.485561298939813035e+00
2.297564364951449889e+00,1.594174760453880069e+01,5.846581861694083670e+00,5.237167835235595703e+00,6.094142291142807810e-01,1.058598998078097014e-01,3.931005540089057559e-01,9.706525777646422881e+00,1.000000000000000000e+01,9.000000000000000222e-01,6.938542331054854628e+00
1.729227830625641893e+00,1.227209767444827904e+01,3.420921097837552161e+00,3.279587507247924805e+00,1.413333879338352361e-01,9.113234924567796547e-02,1.770333577738157638e-01,3.169724998016137363e+01,1.000000000000000000e+00,9.000000000000000222e-01,7.096865697568710551e+00
1.790585257436121847e+00,1.653535758854408400e+01,4.628406034749225739e+00,2.701430559158325195e+00,1.926975572448448970e+00,3.990574885252090587e-01,5.488429474507439565e+00,1.839280061689490253e+01,1.000000000000000000e+03,8.000000000000000444e-01,9.234610594426817087e+00
2.656075647815125063e+00,1.288869358287672462e+01,1.712052276841347975e+00,8.742483258247375488e-01,8.378039135890842370e-01,5.563524591404759301e-01,8.776347269682091001e-01,2.759872463234139062e+01,1.000000000000000000e+00,9.000000000000000222e-01,4.852532567541478770e+00
4.588614134549141355e+00,9.785032322884006817e+00,3.244350627751232397e-01,8.742483258247375488e-01,-5.498133004771401655e-01,7.003358462728208611e-01,3.769953179290476131e-01,1.754881934037209845e+01,1.000000000000000000e+02,9.000000000000000222e-01,2.132459177425570562e+00
1.985354741492740605e+00,1.054516803079611265e+01,1.303438267771467318e+00,8.974010348320007324e-01,4.060371953955252411e-01,3.881585646861053229e-01,1.791608758382480793e-01,3.608754237642219920e+01,1.000000000000000000e+01,9.000000000000000222e-01,5.311477999577775222e+00
3.186315404306894639e+00,1.746591734933441487e+01,3.443739083574056448e+00,2.974793672561645508e+00,4.689453782298562134e-01,1.435270276566404934e-01,2.466902879661122816e-01,8.220565609421964126e+00,1.000000000000000000e+03,8.000000000000000444e-01,5.481540630198127317e+00
2.152224390573680868e+00,9.883291898873633130e+00,1.701635318530414054e+00,1.751885652542114258e+00,-5.025008441725022090e-02,2.063264208702263736e-01,3.857940927319691293e-01,1.158806666249481410e+01,1.000000000000000000e+03,8.000000000000000444e-01,4.592128935142872237e+00
4.577020175251508505e+00,9.871951359467642462e+00,3.902982027769487661e-01,8.742483258247375488e-01,-4.839501604753147501e-01,5.111489814814131755e-02,3.131513902922683501e-01,1.727315003216195421e+01,1.000000000000000000e+03,9.000000000000000222e-01,2.156851178600097896e+00
4.553266618465372950e+00,1.527057831090620610e+01,2.179119026380841539e+00,1.226005792617797852e+00,9.531132937402173599e-01,4.603850065335596820e-01,9.993767189699070963e-01,4.649046346030769605e+00,1.000000000000000000e+01,8.000000000000000444e-01,3.353763262835899095e+00
1.336825962125911094e+00,9.168041534574696172e+00,4.376350971376440135e+00,3.554372787475585938e+00,8.219781332369056059e-01,2.004069137658639477e-01,8.046003500824981947e-01,8.924570095173081086e+00,1.000000000000000000e+00,8.000000000000000444e-01,6.858066640174355300e+00
1.651351476082896674e+00,8.081581109089270853e+00,4.582020883134175770e-01,8.742483258247375488e-01,-4.160462749388459391e-01,-2.784212078438164095e+00,1.156199174389125561e+00,1.739612611230267447e+01,1.000000000000000000e+02,8.000000000000000444e-01,4.893919450908934543e+00
1.962980762440071913e+00,1.773209526124572122e+01,3.141451655860064029e+00,1.569558024406433105e+00,1.571893635178921222e+00,5.051410227454261603e-01,2.633908759980832848e+00,2.217545193958537553e+01,1.000000000000000000e+01,8.000000000000000444e-01,9.033249637762084561e+00
3.130280501075522359e+00,8.351108064339925363e+00,1.138319620904224561e+00,1.211441874504089355e+00,-7.312233369360614244e-02,1.794438775236039396e-01,5.875997659210476648e-02,6.201622318124955235e+00,1.000000000000000000e+03,8.000000000000000444e-01,2.667846559268601592e+00
2.498496734477761105e+00,1.034430564480844872e+01,1.363779362537255846e+00,8.742483258247375488e-01,4.895309992849922187e-01,4.720783364020929573e-01,4.261947683111674823e-01,2.442445733264978003e+01,1.000000000000000000e+00,9.000000000000000222e-01,4.140211792980641015e+00
3.047115579007728670e+00,1.282950616571634939e+01,6.582345188105929168e-01,8.742483258247375488e-01,-2.160138444416705994e-01,-4.990514795163409900e-01,1.340452080087723152e-01,3.263287355293785197e+01,1.000000000000000000e+01,9.000000000000000222e-01,4.210377267636887133e+00
3.716311288745303365e+00,1.428407483776387288e+01,1.763091069403050382e+00,8.742483258247375488e-01,8.888427061507868654e-01,5.532042060152596585e-01,9.499477552882622522e-01,7.742220989411638499e+00,1.000000000000000000e+00,8.000000000000000444e-01,3.843616351790177799e+00
1.974164788338617083e+00,8.790533865157680538e+00,4.126367304289147775e+00,3.959715366363525391e+00,1.666520243523570977e-01,6.469562750777273219e-02,1.298683459680811114e-01,2.758318774820589958e+00,1.000000000000000000e+01,9.000000000000000222e-01,4.452786270469074381e+00
1.260277962217999370e+00,1.046314857872657633e+01,5.650540649299720108e+00,5.356534004211425781e+00,2.940071636487041062e-01,7.960025542904372586e-02,2.388194972369925284e-01,2.272732373913034110e+01,1.000000000000000000e+00,9.000000000000000222e-01,8.302254655244610149e+00
3.344977943093970119e+00,1.763407724668407184e+01,1.859114655112867331e-01,1.315014243125915527e+00,-1.129102745204603186e+00,2.897791457239057955e+00,2.266785831391066264e+00,4.799160686520304608e+01,1.000000000000000000e+02,9.000000000000000222e-01,5.271806734358689184e+00
2.380496156316965539e+00,1.222705935663342380e+01,1.171423989048475889e+00,9.470337033271789551e-01,2.243903669326252626e-01,2.975604577672451012e-01,8.598124963186286329e-02,3.594622043356039143e+01,1.000000000000000000e+01,9.000000000000000222e-01,5.136349127969513262e+00
1.898557445342057282e+00,6.598748663320219698e+00,8.767054522239254855e-01,1.044444322586059570e+00,-1.677387621424510089e-01,2.468591370091500481e-01,2.844383111273195430e-01,2.477538752243101072e+01,1.000000000000000000e+03,9.000000000000000222e-01,3.475664473313496927e+00
2.846848891834529383e+00,1.418471520165581090e+01,2.956580469492588126e+00,1.824119567871093750e+00,1.132460950795326271e+00,3.929368793753543199e-01,1.318630153296510343e+00,1.847601490066527674e+01,1.000000000000000000e+01,9.000000000000000222e-01,4.982602077103951643e+00
4.713162410128036939e+00,1.470378195004247601e+01,1.147109079787504538e+00,8.742483258247375488e-01,2.728607165352412434e-01,2.112862672532486441e-01,1.376879685417498611e-01,1.863304521541206782e+01,1.000000000000000000e+01,9.000000000000000222e-01,3.119727408172008776e+00
2.237510568936672328e+00,1.323978939045663061e+01,2.532986214247247680e+00,1.132242441177368164e+00,1.400743781265518129e+00,5.698457275736197314e-01,2.051686278587827594e+00,1.290012684274773669e+01,1.000000000000000000e+01,8.000000000000000444e-01,5.917196358428173042e+00
1.830638120031515381e+00,1.467581768007798004e+01,5.505158001227303366e+00,4.449042320251464844e+00,1.056115508122368762e+00,1.794396309523413058e-01,1.642738825636650857e+00,2.401551083235927209e+01,1.000000000000000000e+03,9.000000000000000222e-01,8.016777056857819161e+00
2.889132484436212955e+00,1.250585700202227457e+01,4.154643980516000923e+00,3.927443742752075195e+00,2.272004255185562371e-01,9.400513648683614387e-02,2.221492111846766482e-01,1.447531470030135381e+00,1.000000000000000000e+00,9.000000000000000222e-01,4.328585507722977788e+00
1.945434918675326141e+00,1.268967350273479511e+01,2.220757416490352742e+00,2.074385404586791992e+00,1.463720282948377804e-01,1.391922310522221151e-01,5.213575681987767663e-01,4.022456015793834183e+01,1.000000000000000000e+02,9.000000000000000222e-01,6.522795175988396643e+00
2.796295949428449834e+00,1.577157903740155120e+01,1.256675447126909262e+00,1.553928852081298828e+00,-2.972533602509061512e-01,2.051291157645037888e+00,1.075156435726106752e+00,4.194390055742329082e+01,1.000000000000000000e+03,9.000000000000000222e-01,5.640168037515910449e+00
4.270181689663159474e+00,1.774124807177648222e+01,2.374687164973612874e-01,1.166639447212219238e+00,-9.291707038927677909e-01,1.495581720095542133e+00,1.855114707267998542e+00,3.783251733823771445e+01,1.000000000000000000e+03,9.000000000000000222e-01,4.154682250341424243e+00
2.669975949972152929e+00,8.048884515402534134e+00,2.040992055620533208e+00,1.587346076965332031e+00,4.536459466177046318e-01,2.525718078724808469e-01,2.869323236315663439e-01,9.395574349628152078e+00,1.000000000000000000e+03,9.000000000000000222e-01,3.014590642843236523e+00
2.537249518309783181e+00,1.468252648853509612e+01,5.003697228033547884e-01,8.742483258247375488e-01,-3.738786404489086723e-01,6.739711623344974978e-01,3.293627322143722891e-01,4.703689325123162490e+01,1.000000000000000000e+00,9.000000000000000222e-01,5.786788560833396211e+00
