# Wo,Ar,sample_sigma,prediction,abs_error,rel_error,mse,K,G,frac,act_sigma
2.708925898329817894e+00,1.590497139991269293e+01,4.987470535074018940e+00,4.289920806884765625e+00,6.975494093044035671e-01,1.543287164075424212e-01,6.137482330962917842e-01,4.651272836947059730e+00,1.341172168272539267e+00,8.000000000000000444e-01,5.871320219471070523e+00
2.477846176618576202e+00,1.174743847989366152e+01,3.491233645211149650e+00,2.907245159149169922e+00,5.839882983073485523e-01,1.998183215468694596e-01,5.305830008393563890e-01,6.588184690069408767e+00,5.055158555368248763e-01,8.000000000000000444e-01,4.740987794458231264e+00
2.366738150188230083e+00,1.847153170538118871e+01,6.433643997446329976e+00,5.662037849426269531e+00,7.716060347712365708e-01,1.280065221570820255e-01,7.040306986002067280e-01,7.296987781871205669e+00,1.543110882703706332e+00,8.000000000000000444e-01,7.804636817939542226e+00
1.056032086703513340e+00,8.112566424240979401e+00,5.924520686363969446e+00,4.291473388671875000e+00,1.633047214245591849e+00,2.767835761616508350e-01,2.736017937223163443e+00,9.024806630997320056e+00,3.251613797964798991e+00,8.000000000000000444e-01,7.682121146114969434e+00
3.700167244663940203e+00,7.462651554628566331e+00,6.791384440435279668e-01,8.742483258247375488e-01,-1.951099192087354939e-01,3.881305295929818877e-01,1.218076736100912605e-01,9.197372713452926618e+00,4.617041451702067256e+00,8.000000000000000444e-01,2.016841688815702582e+00
3.852208239620036778e+00,1.923586390167494287e+01,3.472139399926499781e+00,1.176340103149414062e+00,2.295799250583486106e+00,6.703432000408215963e-01,5.415672459022336405e+00,9.293088596003059365e+00,5.011783330997922725e+00,8.000000000000000444e-01,4.993464191222505733e+00
1.963016054214111072e+00,1.827428715562248129e+01,7.795449101416165760e+00,6.389813899993896484e+00,1.405635016647870827e+00,1.810961329055399693e-01,1.983045550717025707e+00,8.213849039243557471e+00,6.471749124267150322e+00,8.000000000000000444e-01,9.309290729636213513e+00
2.594022075569830221e+00,1.530692364320797161e+01,5.853910427031225439e+00,7.335829734802246094e+00,-1.481919194522195893e+00,2.524070496348878589e-01,2.382807887474714725e+00,1.595255259544937354e-01,7.509751405401277502e+00,8.000000000000000444e-01,5.900845558473318597e+00
1.308438053793255396e+00,8.576638494718656247e+00,4.695326330408522431e+00,3.664694547653198242e+00,1.030631839379736903e+00,2.203749456327473710e-01,1.127176560201951450e+00,9.796555804535753254e+00,5.473412221638621844e+00,8.000000000000000444e-01,6.554867821104993553e+00
3.730541808742451337e+00,1.793539073776957693e+01,3.224425735947762828e+00,1.429338693618774414e+00,1.795086967078125095e+00,5.702828958469665643e-01,3.335871971419927640e+00,9.790600236028616621e+00,8.534967035535032664e+00,8.000000000000000444e-01,4.807717392615287189e+00
3.643814265561087229e+00,6.217245111053280482e+00,1.219921776764141041e+00,9.562774896621704102e-01,2.636442504544274645e-01,2.948619583228305752e-01,2.608036047747324671e-01,2.993555264903033475e+00,9.418180742257888483e+00,8.000000000000000444e-01,1.706246437919339831e+00
4.991475170050643229e+00,6.625691640275723771e+00,9.321248687538293831e-01,8.742483258247375488e-01,5.787650550156579060e-02,2.474945497079102386e-01,2.119670167270781835e-01,2.694416055605114657e+00,2.824894910822590699e+00,8.000000000000000444e-01,1.327401502471763362e+00
4.829348062778331396e+00,8.682424889704044801e+00,1.215350141846097909e+00,8.742483258247375488e-01,3.411017785938346147e-01,4.036612834957633567e-01,3.372677940831414478e-01,4.062899550447692576e+00,1.208034174668352057e+00,8.000000000000000444e-01,1.797846164086386311e+00
1.075527141593741520e+00,8.758452199195751575e+00,7.741361623760271371e+00,5.776791572570800781e+00,1.964570539947557481e+00,2.545690027737114169e-01,3.911057687082540646e+00,1.890717504009648220e+00,8.746188564946814736e+00,8.000000000000000444e-01,8.143404160137949432e+00
4.315913467117024283e+00,1.480779944941697046e+01,2.117738715798009430e+00,1.004482507705688477e+00,1.113256299361933044e+00,5.530397446723359645e-01,1.322562669928358803e+00,8.565013563359260118e+00,6.674743247375607424e+00,8.000000000000000444e-01,3.430976909578399958e+00
1.902402896033550395e+00,1.839454360405203914e+01,8.964180159118241065e+00,7.335829734802246094e+00,1.628350537564821732e+00,1.824801717612316299e-01,2.724489136504182785e+00,3.683565103390120665e+00,3.314223504358513317e+00,8.000000000000000444e-01,9.669110387922598804e+00
4.288455813612321421e+00,1.211688839528283701e+01,2.450801843449799566e+00,8.742483258247375488e-01,1.576553480197536050e+00,6.547220042950748775e-01,2.779962622024896746e+00,1.915033391215286818e+00,8.614975282354564445e-01,8.000000000000000444e-01,2.825466536654447580e+00
4.192281839224300199e+00,7.441396375174995192e+00,5.333113612458243447e-01,8.742483258247375488e-01,-3.409370020064391715e-01,2.722346623196124638e-01,1.915602053600653498e-01,8.969014462502338247e+00,5.499799156758676588e+00,8.000000000000000444e-01,1.775022925594114787e+00
1.179562330779872381e+00,1.212149935960411362e+01,8.746241530728664060e+00,6.156697273254394531e+00,2.589544501853313196e+00,2.967479649939099851e-01,6.716731208215103166e+00,8.011062100078399695e+00,6.847879457064186326e+00,8.000000000000000444e-01,1.027626861531762792e+01
3.240276498963398755e+00,5.804221159546187891e+00,7.449824377035116907e-01,8.742483258247375488e-01,-1.292659255487518810e-01,3.900441991567091815e-01,2.579077263404661036e-01,7.695711585816656708e+00,5.936326619676791649e-01,8.000000000000000444e-01,1.791273417994737160e+00
2.590327655584141464e+00,1.207493799307976445e+01,3.866177658085376834e+00,3.028187513351440430e+00,8.379901894374203186e-01,2.263728967259507063e-01,8.268817789092558490e-01,4.249211991730070359e+00,3.095885474848039998e+00,8.000000000000000444e-01,4.661548498333413448e+00
3.257246180714979289e+00,5.204436571937545608e+00,4.246314778178589822e-01,8.742483258247375488e-01,-4.496168854344045895e-01,9.864153317560866441e-01,3.033893553776867980e-01,8.155932886466576548e+00,4.469949640693180903e+00,8.000000000000000444e-01,1.597802647755396155e+00
3.682114180337266340e+00,5.889831672245805727e+00,4.163474331917142446e-01,8.742483258247375488e-01,-4.579009300605491606e-01,2.644352370721144152e-01,2.768259659134837403e-01,8.335851325898618214e+00,6.975902862595114051e+00,8.000000000000000444e-01,1.599578770179886700e+00
3.867176938975926070e+00,7.783084517196096286e+00,1.102575869011811260e+00,8.742483258247375488e-01,2.283275057595475777e-01,3.723111698766114475e-01,3.077735460460607197e-01,6.787270583541321400e+00,4.320284280749383532e-01,8.000000000000000444e-01,2.012601088601120303e+00
1.765553950418907281e+00,4.370918691276848733e+00,2.413752669981894972e+00,2.890264034271240234e+00,-4.765113970718998226e-01,2.103940833384957132e-01,6.472929676513129449e-01,2.326453559536213744e-01,5.940855816774927689e+00,8.000000000000000444e-01,2.475664190403116471e+00
4.521348418486899945e+00,6.562084886394010219e+00,1.817682660478375789e-01,8.742483258247375488e-01,-6.924800972044258263e-01,1.082529851754781447e+00,5.489569277650362400e-01,9.890960271808930671e+00,8.960380213759757240e+00,8.000000000000000444e-01,1.451355719360830632e+00
