# Wo,Ar,sample_sigma,prediction,abs_error,rel_error,mse,K,G,frac,act_sigma
4.278581825498145363e+00,1.111464876497929666e+01,1.511785959559948767e+00,1.493713140487670898e+00,1.807276840832997694e-02,1.092468263952156127e+00,2.714172989289799887e+00,7.145401389214538490e+00,8.727617528158882365e+00,8.000000000000000444e-01,2.597741312025800386e+00
2.783996150624550303e+00,4.706359132400956824e+00,1.132049608277212460e+00,1.493713140487670898e+00,-3.616635828744063086e-01,1.418026451131147780e+00,2.755820312626288349e+00,3.335712518664759596e+00,8.815344817754075635e+00,8.000000000000000444e-01,1.690504899349502210e+00
4.240279378771944607e+00,9.630035065214572754e+00,1.648484967004165469e+00,1.493713140487670898e+00,1.547717758525467002e-01,9.882604467851650032e-01,2.658822673738172160e+00,3.925259996062506307e+00,7.777990958280301292e+00,8.000000000000000444e-01,2.271085040628523899e+00
3.475627802397415422e+00,5.723950233577437707e+00,9.158512694869662685e-01,1.493713140487670898e+00,-5.778619216646527779e-01,1.724952979495885996e+00,2.950529267887825657e+00,4.571223827474530488e+00,2.354356977662821926e+00,8.000000000000000444e-01,1.646882393341766226e+00
2.818675868935884399e+00,9.623975847929916227e+00,2.656225060680727612e+00,1.493713140487670898e+00,1.162511869529109010e+00,6.407076156291896529e-01,4.014917833338705222e+00,4.336318106219691160e+00,9.663922221158790293e+00,8.000000000000000444e-01,3.414360605983116859e+00
3.035877767571573127e+00,1.119896828574369074e+01,2.376143362041337248e+00,1.493713140487670898e+00,8.824301708897180907e-01,7.057631411985172409e-01,3.412961050044428735e+00,7.644886121190359596e+00,3.540914789442717314e+00,8.000000000000000444e-01,3.688873249564935453e+00
4.333264178636783370e+00,1.698964166189591651e+01,2.755971292943042439e+00,1.493713140487670898e+00,1.262258101791423393e+00,6.197599922430097052e-01,4.260557166443068589e+00,7.368873942813800149e+00,5.753156140961350751e+00,8.000000000000000444e-01,3.920749107717855786e+00
1.979361444457408803e+00,1.300356109704128826e+01,6.298127051858081416e+00,1.493713140487670898e+00,4.804413860706462813e+00,7.629542997967475593e-01,2.568603635757968817e+01,1.352348666760099016e+00,1.429602712704388878e+00,8.000000000000000444e-01,6.569573805458195359e+00
1.819901578717485258e+00,1.228670359743830431e+01,6.258595090794569771e+00,1.493713140487670898e+00,4.764881899642950280e+00,7.612683376270439339e-01,2.537291358444295497e+01,2.486732146173318725e+00,8.429554109524222127e+00,8.000000000000000444e-01,6.751301136898264055e+00
2.591695518627724404e+00,1.919029642931874236e+01,6.884656793968710886e+00,1.493713140487670898e+00,5.390943602817091396e+00,7.828795194997886231e-01,3.175810673433454667e+01,2.726688158309908516e+00,9.253350862872048666e+00,8.000000000000000444e-01,7.404533553956911263e+00
3.315545062928738851e+00,6.653552298871248993e+00,1.267129939729363830e+00,1.493713140487670898e+00,-2.265832514222550775e-01,1.255431802727011270e+00,2.656727086596074372e+00,4.306098275875795522e+00,1.280151868270742233e+00,8.000000000000000444e-01,2.006774805525921135e+00
2.013536269225420838e+00,9.433070897812189770e+00,4.089291221560126921e+00,1.493713140487670898e+00,2.595578030408508319e+00,6.346351941791390505e-01,9.362981233026829386e+00,3.071825572017610195e+00,4.073729852763478654e+00,8.000000000000000444e-01,4.684827903021066220e+00
1.659190910408266717e+00,1.222883765022213609e+01,5.634337460100534933e+00,1.493713140487670898e+00,4.140624268948916331e+00,7.350027777329404266e-01,1.975793152876660841e+01,9.110859524208597904e+00,2.018282768049441955e+00,8.000000000000000444e-01,7.370362008078420679e+00
3.533569256066980024e+00,1.488996576475108746e+01,3.924896930036587239e+00,1.493713140487670898e+00,2.431183738884967305e+00,6.191969798453600404e-01,8.538576887556036610e+00,1.463852635943212022e+00,8.383555539322202321e+00,8.000000000000000444e-01,4.213859892284744113e+00
2.702861588101383994e+00,1.367528570076142458e+01,4.007220751687073701e+00,1.493713140487670898e+00,2.513507560535454211e+00,6.262913930178880539e-01,8.992551353908346812e+00,5.905752185321286873e+00,6.783612922410641843e+00,8.000000000000000444e-01,5.059558270006561109e+00
1.887346834398979656e+00,3.698517720206639048e+00,1.615884466982728807e+00,1.493713140487670898e+00,1.221712758311098018e-01,1.000007250042181273e+00,2.612412949103460669e+00,1.765687855066125023e+00,2.042864330343857837e+00,8.000000000000000444e-01,1.959638606321356225e+00
