# Wo,Ar,sample_sigma,prediction,abs_error,rel_error
1.985287380574736860e+00,1.891090586378269478e+01,9.525525648739085582e+00,8.920783042907714844e+00,6.047430038452148438e-01,6.348657608032226562e-02
8.022268614890241123e-01,8.405037902263815752e+00,1.047713347152588703e+01,2.722821807861328125e+01,-1.675108337402343750e+01,-1.598823070526123047e+00
5.597584796452449218e+00,3.162526413048517782e+00,5.649805278613760917e-01,-2.209255695343017578e+00,2.774236202239990234e+00,4.910322189331054688e+00
3.108279523334049887e-01,9.264698993434381080e+00,2.980651812002009748e+01,4.105064392089843750e+01,-1.124412536621093750e+01,-3.772371113300323486e-01
3.780231342101337599e+00,1.479598420163180528e+01,3.914041989135798261e+00,3.680580615997314453e+00,2.334613800048828125e-01,5.964713171124458313e-02
5.400098075445435297e-01,5.185891910804026672e+00,9.603329121714624605e+00,1.595501422882080078e+01,-6.351685523986816406e+00,-6.614045500755310059e-01
2.091975147293664961e+00,1.146632912271532945e+01,5.481101980369618154e+00,6.364771842956542969e+00,-8.836698532104492188e-01,-1.612212061882019043e-01
2.726431809863925970e+00,2.970543963550881905e+00,1.089535396705608283e+00,-2.013551235198974609e+00,3.103086471557617188e+00,2.848082304000854492e+00
1.561668010949625707e+00,1.689663386527762867e+01,1.081960682219715153e+01,6.929707527160644531e+00,3.889899253845214844e+00,3.595231771469116211e-01
1.392495842981346099e+00,1.136733603361414069e+01,8.163281844545096533e+00,8.008795738220214844e+00,1.544857025146484375e-01,1.892446167767047882e-02
2.143332479753713438e-01,5.412562773274060213e+00,2.525302455126331580e+01,1.680706596374511719e+01,8.445959091186523438e+00,3.344533741474151611e-01
2.737713707022647824e+00,1.416526254401950169e+01,5.174121204742289315e+00,6.428773403167724609e+00,-1.254652023315429688e+00,-2.424860000610351562e-01
3.298332681499990926e+00,2.684650960613378157e+00,8.139418366350090750e-01,-8.616575002670288086e-01,1.675599336624145508e+00,2.058622837066650391e+00
3.018493635980629808e+00,6.112039903693935905e+00,2.024864267009890195e+00,2.652787208557128906e+00,-6.279230117797851562e-01,-3.101062476634979248e-01
4.808957884706503982e+00,7.804366088658007072e+00,1.622880939231663877e+00,2.825238227844238281e+00,-1.202357292175292969e+00,-7.408783435821533203e-01
2.751561846256394439e+00,8.592760259548295920e+00,3.122866480809463496e+00,3.955743789672851562e+00,-8.328773975372314453e-01,-2.667028605937957764e-01
9.456949091449600164e-01,7.734658888379247976e+00,8.178809903261990755e+00,2.076669120788574219e+01,-1.258788108825683594e+01,-1.539084672927856445e+00
2.574028588022045927e-01,3.634330460259310058e+00,1.411923114285233893e+01,9.668228149414062500e+00,4.451003074645996094e+00,3.152440190315246582e-01
1.619254892062461371e-01,7.072394968429426498e+00,4.367684793233043905e+01,3.345896530151367188e+01,1.021788406372070312e+01,2.339427918195724487e-01
1.453813939245639064e+00,6.773180832775396176e+00,4.658904863912566974e+00,6.403621196746826172e+00,-1.744716167449951172e+00,-3.744906187057495117e-01
4.181926385678933045e+00,4.862683761770389523e+00,1.162785595275593664e+00,4.566005229949951172e+00,-3.403219699859619141e+00,-2.926781654357910156e+00
9.363372608685049947e-01,7.649691553711366332e+00,8.169803631029111557e+00,2.028014373779296875e+01,-1.211034011840820312e+01,-1.482329368591308594e+00
1.098811830617305585e+00,1.189194728200407525e+01,1.082255118724309284e+01,9.556747436523437500e+00,1.265803337097167969e+00,1.169597953557968140e-01
4.805971201900760548e-01,2.790357438866958528e+00,5.806021970675506516e+00,5.429165363311767578e+00,3.768568038940429688e-01,6.490791589021682739e-02
2.744283767761071857e+00,1.736536021314192979e+01,6.327829657101928795e+00,7.629897594451904297e+00,-1.302067756652832031e+00,-2.057684510946273804e-01
