# Wo,Ar,sample_sigma,prediction,abs_error,rel_error
2.522579183660740298e+00,2.031649724099563681e+00,8.053859071140258008e-01,2.407639980316162109e+00,-1.602254152297973633e+00,1.989424228668212891e+00
4.588661308738896771e+00,1.080914074970845107e+01,2.355619650795087949e+00,1.381862163543701172e+00,9.737575054168701172e-01,4.133763611316680908e-01
2.742671187673477284e+00,6.662324063740928004e+00,2.429137001068061075e+00,3.175431489944458008e+00,-7.462944984436035156e-01,3.072261810302734375e-01
1.840334650795837079e-01,6.839971092170481271e+00,3.716699617220483987e+01,3.899732351303100586e+00,3.326726531982421875e+01,8.950754404067993164e-01
3.541005201283490056e+00,6.405703082774762080e+00,1.809006967979859937e+00,3.174020290374755859e+00,-1.365013360977172852e+00,7.545650005340576172e-01
1.426613158262356740e-01,7.505096560054055566e+00,5.260779011175961273e+01,2.732631921768188477e+00,4.987516021728515625e+01,9.480565190315246582e-01
1.041216615525911299e-01,1.556695797380826107e+01,1.495073910815906117e+02,3.847379446029663086e+00,1.456600036621093750e+02,9.742662906646728516e-01
4.321027690404555699e+00,4.958573673453589237e+00,1.147544988999906979e+00,8.742330074310302734e-01,2.733119726181030273e-01,2.381710261106491089e-01
8.282834661644140617e-01,1.522375856374774550e+01,1.837988947702335452e+01,3.124239683151245117e+00,1.525564861297607422e+01,8.300185799598693848e-01
2.443845855015438495e+00,4.759384469602911949e+00,1.947497817767580131e+00,4.244963645935058594e+00,-2.297465801239013672e+00,1.179701328277587891e+00
3.627856719655434548e-01,9.201372234725685217e+00,2.536310815384023698e+01,3.463760137557983398e+00,2.189934730529785156e+01,8.634331226348876953e-01
2.143585580673441626e+00,9.792855877402534048e+00,4.568446422524427675e+00,2.448388338088989258e+00,2.120058298110961914e+00,4.640654623508453369e-01
5.822209501760019501e-01,9.458480140624804022e+00,1.624551665096482722e+01,3.617996931076049805e+00,1.262751865386962891e+01,7.772925496101379395e-01
4.753260564785973585e+00,4.913534795112624032e+00,1.033718797474311613e+00,1.290039658546447754e+00,-2.563208341598510742e-01,2.479599118232727051e-01
6.691233216028685815e-01,2.853267694988780967e+00,4.264188084423432556e+00,1.067577600479125977e+00,3.196610689163208008e+00,7.496410608291625977e-01
1.781419118444458327e+00,1.396020515994069200e+01,7.836564127666258983e+00,2.916534185409545898e+00,4.920029640197753906e+00,6.278299689292907715e-01
2.876226156858042060e+00,1.351827314038569128e+01,4.700003547409811411e+00,2.651922225952148438e+00,2.048081398010253906e+00,4.357616603374481201e-01
8.840000097238502885e-01,7.664758152831959492e+00,8.670540801494251326e+00,2.423366785049438477e+00,6.247174263000488281e+00,7.205057144165039062e-01
4.667101640223582315e+00,1.704526053318551604e+01,3.652215410583803834e+00,2.010960578918457031e+00,1.641254901885986328e+00,4.493861198425292969e-01
1.910780249586167212e+00,1.077052316511938734e+01,5.636714722926429388e+00,2.487625360488891602e+00,3.149089574813842773e+00,5.586746335029602051e-01
1.538804379864667782e+00,1.365071604085125756e+01,8.870988554147338334e+00,3.252438306808471680e+00,5.618550300598144531e+00,6.333623528480529785e-01
2.073526080245724046e+00,1.428353762672297123e+01,6.888525667847059886e+00,3.036168575286865234e+00,3.852356910705566406e+00,5.592426061630249023e-01
2.105047908859708716e+00,1.166536589913309463e+01,5.541615395087207574e+00,3.113582849502563477e+00,2.428032636642456055e+00,4.381452798843383789e-01
8.449589561034368534e-01,4.628742373250558373e+00,5.478067709461527990e+00,2.300591230392456055e+00,3.177476644515991211e+00,5.800359845161437988e-01
2.725865172638977096e+00,1.859150231397204323e+01,6.820404215360786893e+00,3.051388025283813477e+00,3.769016027450561523e+00,5.526089072227478027e-01
2.237919352903582904e-01,8.410093374460423377e+00,3.757996624654398943e+01,3.782382726669311523e+00,3.379758453369140625e+01,8.993510603904724121e-01
3.951014554376903742e+00,9.128059315420664177e+00,2.310307691807581776e+00,2.889019727706909180e+00,-5.787119865417480469e-01,2.504912912845611572e-01
2.737713707022647824e+00,1.416526254401950169e+01,5.174121204742289315e+00,2.308489322662353516e+00,2.865632057189941406e+00,5.538393855094909668e-01
7.653919979443593036e-01,6.949802375015284639e+00,9.080056224366881423e+00,1.905789613723754883e+00,7.174266815185546875e+00,7.901126146316528320e-01
1.950662829961197442e+00,1.260821451617781186e+01,6.463553989198949523e+00,3.177086114883422852e+00,3.286467790603637695e+00,5.084614157676696777e-01
7.169821378727835315e-01,6.588824041589142588e+00,9.189662745487002127e+00,4.180539608001708984e+00,5.009123325347900391e+00,5.450823903083801270e-01
3.566905759825559352e-01,1.063356673130638530e+00,2.981174005512952974e+00,7.172408103942871094e-01,2.263933181762695312e+00,7.594099640846252441e-01
3.707371162625401784e+00,1.884878456359570720e+01,5.084137448554733929e+00,2.889276981353759766e+00,2.194860458374023438e+00,4.317075312137603760e-01
3.478373787871164247e+00,6.126421020802499839e+00,1.761288864976180424e+00,1.821709871292114258e+00,-6.042098999023437500e-02,3.430498391389846802e-02
2.330645212292668800e-01,4.765224320261633117e+00,2.044594473293537007e+01,2.036725759506225586e+00,1.840921783447265625e+01,9.003848433494567871e-01
1.512395968917231992e-01,9.556152441935607200e+00,6.318551912550475436e+01,2.749074459075927734e+00,6.043644714355468750e+01,9.564920663833618164e-01
1.831171048472814089e+00,1.148585577817363035e+00,6.272410099402108141e-01,9.355835914611816406e-01,-3.083425760269165039e-01,4.915854930877685547e-01
4.605118206877335751e+00,8.248292240367813832e+00,1.791114119079444622e+00,1.954503536224365234e+00,-1.633894443511962891e-01,9.122224152088165283e-02
9.894720360819575511e-01,1.556979635711529042e+01,1.573545869852723200e+01,2.314814090728759766e+00,1.342064476013183594e+01,8.528918623924255371e-01
1.773963365329721098e+00,3.462342540913264877e+00,1.951755379271729929e+00,1.690300226211547852e+00,2.614551782608032227e-01,1.339589804410934448e-01
3.018493635980629697e-01,6.112039903693935905e+00,2.024864267009890284e+01,3.296367883682250977e+00,1.695227432250976562e+01,8.372054696083068848e-01
