# Wo,Ar,sample_sigma,prediction,abs_error,rel_error
4.240279378771944607e+00,9.630035065214572754e+00,2.271085040628523899e+00,2.125365734100341797e+00,1.457192897796630859e-01,6.416285037994384766e-02
2.203677723594879012e+00,7.068088853199802735e+00,3.207405864079601265e+00,3.137711763381958008e+00,6.969404220581054688e-02,2.172910049557685852e-02
2.376337456024848027e+00,7.499998271697769781e+00,3.156116675551549733e+00,3.112580299377441406e+00,4.353642463684082031e-02,1.379430107772350311e-02
1.866138772915116872e+00,1.865421611085553266e+01,9.996156974818955376e+00,1.045895195007324219e+01,-4.627952575683593750e-01,4.629731923341751099e-02
2.282356493388743246e+00,6.093443983344143611e+00,2.669803775613012853e+00,2.733258008956909180e+00,-6.345415115356445312e-02,2.376734651625156403e-02
5.602680449372601679e+00,2.151520964796602708e+00,3.840163622106154140e-01,3.520061671733856201e-01,3.201019763946533203e-02,8.335633575916290283e-02
5.806577146336537432e+00,2.709062896641039941e+00,4.665507455369350964e-01,3.698470890522003174e-01,9.670364856719970703e-02,2.072735875844955444e-01
2.062767039941142411e+00,1.497892332969622409e+01,7.261568097444307313e+00,7.808463573455810547e+00,-5.468955039978027344e-01,7.531369477510452271e-02
3.185068220388656890e+00,9.405643947036923080e+00,2.953043167750172504e+00,2.959925174713134766e+00,-6.881952285766601562e-03,2.330461051315069199e-03
3.949268233128573335e+00,1.313686045682399772e+01,3.326403698443420431e+00,3.272816896438598633e+00,5.358672142028808594e-02,1.610950753092765808e-02
3.993400345238467430e+00,9.197779019812550416e+00,2.303244910262885803e+00,2.208594322204589844e+00,9.465050697326660156e-02,4.109441861510276794e-02
9.163245778821685894e-01,1.741436557825210452e+00,1.900458199920884717e+00,2.264071464538574219e+00,-3.636132478713989258e-01,1.913292557001113892e-01
4.661471211890395594e+00,1.882800096482024799e+01,4.039068377553019396e+00,4.075133323669433594e+00,-3.606510162353515625e-02,8.929064497351646423e-03
3.879100405574863686e+00,1.257203539201764464e+01,3.240966739079425896e+00,3.207667112350463867e+00,3.329968452453613281e-02,1.027461420744657516e-02
2.776253972940891934e+00,8.268819744286432183e+00,2.978408972982848013e+00,2.979820251464843750e+00,-1.411199569702148438e-03,4.738098650705069304e-04
1.944542880160706533e+00,1.942018772725660014e+01,9.987019533172556862e+00,1.043807792663574219e+01,-4.510583877563476562e-01,4.516446590423583984e-02
1.001496021770166500e+00,1.975758920925742679e+00,1.972807557870818629e+00,2.339389085769653320e+00,-3.665815591812133789e-01,1.858171969652175903e-01
3.640311406075527945e+00,6.878015606032231055e+00,1.889403086382420272e+00,1.825498580932617188e+00,6.390452384948730469e-02,3.382259979844093323e-02
2.122966365944433331e+00,1.488112186860843522e+01,7.009589085971384748e+00,7.528586387634277344e+00,-5.189971923828125000e-01,7.404103130102157593e-02
2.741792293489159871e+00,2.608334583727281775e+00,9.513246462619378008e-01,1.122306585311889648e+00,-1.709819436073303223e-01,1.797303855419158936e-01
9.581113628976228869e-01,1.127679754358805297e+01,1.176981923007734032e+01,1.253715896606445312e+01,-7.673397064208984375e-01,6.519553810358047485e-02
4.643328846096557605e+00,4.017267691744363489e+00,8.651697574944543501e-01,6.205629706382751465e-01,2.446067929267883301e-01,2.827269434928894043e-01
3.484051284455583097e+00,9.320984635673106311e+00,2.675329343531635207e+00,2.675390481948852539e+00,-6.103515625000000000e-05,2.281407068949192762e-05
6.784675652197935669e-01,1.026962105845656170e+00,1.513649522085798393e+00,1.651070356369018555e+00,-1.374208927154541016e-01,9.078779071569442749e-02
2.996182608848570794e+00,1.111819434247815508e+01,3.710786622164816251e+00,3.722754001617431641e+00,-1.196742057800292969e-02,3.225035965442657471e-03
8.447532458224303875e-01,4.399085332422995265e+00,5.207538833591764060e+00,4.985018730163574219e+00,2.225198745727539062e-01,4.273033514618873596e-02
1.755154567093993867e+00,1.235543581185989126e+01,7.039514378677636408e+00,7.369530200958251953e+00,-3.300156593322753906e-01,4.688045755028724670e-02
2.921195465490980414e+00,1.445220698721700714e+01,4.947360475512702749e+00,4.987593173980712891e+00,-4.023265838623046875e-02,8.132145740091800690e-03
3.416558371134957861e-01,8.704024473572115284e+00,2.547600107496684529e+01,3.155089759826660156e+01,-6.074895858764648438e+00,2.384556233882904053e-01
4.072515944330676874e+00,1.700454933474668806e+01,4.175440825079791196e+00,4.007344722747802734e+00,1.680960655212402344e-01,4.025828093290328979e-02
2.237919352903582904e-01,8.410093374460423377e+00,3.757996624654398943e+01,3.541874313354492188e+01,2.161224365234375000e+00,5.751001089811325073e-02
1.783694979108031209e+00,1.623973737056027744e+01,9.104548457428103703e+00,9.610518455505371094e+00,-5.059700012207031250e-01,5.557332187891006470e-02
8.009220176416832482e-01,9.045605460292026834e+00,1.129399025254273070e+01,1.232538509368896484e+01,-1.031394958496093750e+00,9.132245928049087524e-02
4.334408200927970967e+00,1.587639565784319373e+01,3.662875050495740581e+00,3.495720148086547852e+00,1.671547889709472656e-01,4.563486203551292419e-02
2.577314030167595638e-01,9.538679457021189023e+00,3.701015609805575224e+01,3.788224029541015625e+01,-8.720855712890625000e-01,2.356341294944286346e-02
4.685843639034430019e+00,1.883681620988501493e+01,4.019941265852086332e+00,4.175415992736816406e+00,-1.554746627807617188e-01,3.867585211992263794e-02
